season,game,date,team,name,rs,sr,ob,rc,wkts,econ,c
autumn2026,G10,2026-03-17,Durban Mallu'S,Chibin,19,111.76,2,-14,5,-7.0,33
autumn2026,G10,2026-03-17,Durban Mallu'S,Vijay,9,112.50,2,-13,4,-6.5,22
autumn2026,G10,2026-03-17,Durban Mallu'S,Ice,25,166.67,2,8,2,4.0,17
autumn2026,G10,2026-03-17,Durban Mallu'S,Ameer,18,225.00,2,11,2,5.5,7
autumn2026,G10,2026-03-17,Durban Mallu'S,Shaun,5,55.56,2,12,1,6.0,-7
autumn2026,G10,2026-03-17,Durban Mallu'S,Akhil,12,120.00,2,20,0,10.0,-8
autumn2026,G10,2026-03-17,Durban Mallu'S,Arun,10,66.67,2,19,1,9.5,-9
autumn2026,G10,2026-03-17,Durban Mallu'S,Kieran,-5,-31.25,2,5,3,2.5,-10
autumn2026,G10,2026-03-17,Duck Hunters,Zander Jansen Van Rensburg,12,120.00,2,7,2,3.5,5
autumn2026,G10,2026-03-17,Duck Hunters,Ruben Van Tonder,20,125.00,2,17,0,8.5,3
autumn2026,G10,2026-03-17,Duck Hunters,Rickard Swartz,15,107.14,2,15,1,7.5,0
autumn2026,G10,2026-03-17,Duck Hunters,Jesse Kotze,9,90.00,2,11,1,5.5,-2
autumn2026,G10,2026-03-17,Duck Hunters,James Van Der Merwe,6,60.00,2,14,3,7.0,-8
autumn2026,G10,2026-03-17,Duck Hunters,Evert Van Schalwyk,8,57.14,2,18,1,9.0,-10
autumn2026,G10,2026-03-17,Duck Hunters,Dian Botha,-16,-114.29,2,-1,4,-0.5,-15
autumn2026,G10,2026-03-17,Duck Hunters,Marnus Kotze,-6,-75.00,2,12,0,6.0,-18
