season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Franco,1,1,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Franco,1,4,0,runs,,0
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Franco,1,5,w,wicket,caught,-5
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Franco,1,6,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Kirsten,2,1,w,wicket,caught,-5
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Kirsten,2,6,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Roodt,3,1,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Roodt,3,4,w,wicket,caught,-5
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Roodt,3,5,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Wimpie,4,2,1,runs,,1
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Wimpie,4,4,0,runs,,0
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Nithin,Wimpie,4,5,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Franco,1,2,0,runs,,0
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Franco,1,3,1,runs,,1
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Kirsten,2,2,r,wicket,runout,-5
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Kirsten,2,3,0,runs,,0
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Kirsten,2,4,s,wicket,stumped,-5
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Kirsten,2,5,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Roodt,3,2,0,runs,,0
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Roodt,3,3,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Roodt,3,6,7,runs,,7
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Wimpie,4,1,2,runs,,2
autumn2026,G14,2026-04-29,Durban Mallu's,Akkerkop Arende,1,Nithin & Chibin,Chibin,Wimpie,4,3,r,wicket,runout,-5
