season,game,date,team,name,rs,sr,ob,rc,wkts,econ,c
autumn2026,G12,2026-04-15,Akkerkop Arende,Gerhad,33,206.25,2,2,3,1.0,31
autumn2026,G12,2026-04-15,Akkerkop Arende,Kirsten,21,161.54,2,2,3,1.0,19
autumn2026,G12,2026-04-15,Akkerkop Arende,Wimpie,15,107.14,2,-2,3,-1.0,17
autumn2026,G12,2026-04-15,Akkerkop Arende,Theo Van Heerden,11,91.67,2,-1,3,-0.5,12
autumn2026,G12,2026-04-15,Akkerkop Arende,Goerge,17,154.55,2,13,1,6.5,4
autumn2026,G12,2026-04-15,Akkerkop Arende,Juandre,18,180.00,2,15,1,7.5,3
autumn2026,G12,2026-04-15,Akkerkop Arende,Franco,10,83.33,2,11,1,5.5,-1
autumn2026,G12,2026-04-15,Akkerkop Arende,Roodt,11,110.00,2,12,0,6.0,-1
autumn2026,G12,2026-04-15,Name,Amir,17,121.43,2,-1,3,-0.5,
autumn2026,G12,2026-04-15,Name,Ice,7,50.00,2,7,1,3.5,
autumn2026,G12,2026-04-15,Name,Ashwin,17,188.89,2,25,1,12.5,
autumn2026,G12,2026-04-15,Name,Vijay,2,15.38,2,10,1,5.0,
autumn2026,G12,2026-04-15,Name,Merlin,14,140.00,2,24,0,12.0,
autumn2026,G12,2026-04-15,Name,Chibin,5,50.00,2,23,0,11.5,
autumn2026,G12,2026-04-15,Name,Dony,1,9.09,2,23,0,11.5,
autumn2026,G12,2026-04-15,Name,Kieran,-11,-73.33,2,25,0,12.5,
