season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Marco,1,1,0,runs,,0
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Marco,1,2,1,runs,,1
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Marco,1,5,5,runs,,5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Jesse Kotze,2,1,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Jesse Kotze,2,6,b,wicket,bowled,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Zander Jansen Van Rensburg,3,3,r,wicket,runout,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Zander Jansen Van Rensburg,3,4,1,runs,,1
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Ruben Van Tonder,4,2,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Ruben Van Tonder,4,3,r,wicket,runout,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Ruben Van Tonder,4,4,4,runs,,4
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Ice,Ruben Van Tonder,4,6,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Marco,1,3,0,runs,,0
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Marco,1,4,1,runs,,1
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Marco,1,6,nb,extra,noball,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Jesse Kotze,2,2,w,wicket,caught,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Jesse Kotze,2,3,w,wicket,caught,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Jesse Kotze,2,4,b,wicket,bowled,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Jesse Kotze,2,5,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Zander Jansen Van Rensburg,3,1,b,wicket,bowled,-5
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Zander Jansen Van Rensburg,3,2,0,runs,,0
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Zander Jansen Van Rensburg,3,5,0,runs,,0
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Zander Jansen Van Rensburg,3,6,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Ruben Van Tonder,4,1,2,runs,,2
autumn2026,G18,2026-05-27,Durban Mallu's,Duck Hunters,1,Ice & Chibin,Chibin,Ruben Van Tonder,4,5,2,runs,,2
