season,game,date,team,name,rs,sr,ob,rc,wkts,econ,c
autumn2026,G19,2026-06-02,Durban Mallu'S,Ashwin,12,92.31,2,-20,6,-10.0,32
autumn2026,G19,2026-06-02,Durban Mallu'S,Arun,29,241.67,2,10,1,5.0,19
autumn2026,G19,2026-06-02,Durban Mallu'S,Ice,19,237.50,2,0,2,0.0,19
autumn2026,G19,2026-06-02,Durban Mallu'S,Akhil,20,142.86,2,17,1,8.5,3
autumn2026,G19,2026-06-02,Durban Mallu'S,Zaid,12,109.09,2,9,1,4.5,3
autumn2026,G19,2026-06-02,Durban Mallu'S,Chibin,5,31.25,2,4,2,2.0,1
autumn2026,G19,2026-06-02,Durban Mallu'S,Kiran Varghese,5,41.67,2,7,2,3.5,-2
autumn2026,G19,2026-06-02,Durban Mallu'S,Vijay,8,80.00,2,34,0,17.0,-26
autumn2026,G19,2026-06-02,Name,Gerhard,8,61.54,2,6,2,3.0,
autumn2026,G19,2026-06-02,Name,Stefan,9,75.00,2,7,1,3.5,
autumn2026,G19,2026-06-02,Name,Wian,10,71.43,2,11,1,5.5,
autumn2026,G19,2026-06-02,Name,Roodt,17,130.77,2,19,1,9.5,
autumn2026,G19,2026-06-02,Name,Barend,10,90.91,2,14,2,7.0,
autumn2026,G19,2026-06-02,Name,Theo Van Heerden,22,220.00,2,27,0,13.5,
autumn2026,G19,2026-06-02,Name,Juandre,4,36.36,2,14,0,7.0,
autumn2026,G19,2026-06-02,Name,Collin,-19,-158.33,2,12,1,6.0,
