season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Gerhard,1,1,2,runs,,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Gerhard,1,5,2,runs,,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Collin,2,3,4,runs,,4
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Collin,2,5,3,runs,,3
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Juandre,3,1,3,runs,,3
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Juandre,3,4,2,runs,,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Wian,4,3,2,runs,,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Ice,Wian,4,6,1,runs,,1
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Gerhard,1,2,0,runs,,0
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Gerhard,1,3,st,wicket,stumped,-5
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Gerhard,1,4,1,runs,,1
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Gerhard,1,6,1,runs,,1
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Collin,2,1,0,runs,,0
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Collin,2,2,1,runs,,1
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Collin,2,4,1,runs,,1
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Collin,2,6,ls,extra,legside,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Juandre,3,2,ls,extra,legside,2
autumn2026,G19,2026-06-02,Durban Mallu's,Akkerkop Arende,1,Ice & Chibin,Chibin,Juandre,3,3,2,runs,,2
