season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Lance .,1,1,nb3,extra,noball,5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Lance .,1,4,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Lance .,1,5,w,wicket,caught,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Dylan Eriksen-Miller,2,3,w,wicket,caught,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Dylan Eriksen-Miller,2,4,nb,extra,noball,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Dylan Eriksen-Miller,2,5,7,runs,,7
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Keagan,3,1,1,runs,,1
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Keagan,3,3,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Feebs,4,3,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Arun,Feebs,4,6,3,runs,,3
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Lance .,1,2,w,wicket,caught,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Lance .,1,3,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Lance .,1,6,ro,wicket,runout,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Dylan Eriksen-Miller,2,1,c,wicket,caught,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Dylan Eriksen-Miller,2,2,1,runs,,1
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Dylan Eriksen-Miller,2,6,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Keagan,3,2,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Keagan,3,4,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Keagan,3,5,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Keagan,3,6,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Feebs,4,1,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Feebs,4,2,1,runs,,1
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Feebs,4,4,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,1,Arun & Zach,Zach,Feebs,4,5,2,runs,,2
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,2,Yusuf . & Kiran N,Yusuf .,Liam Chapman,5,1,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,2,Yusuf . & Kiran N,Yusuf .,Liam Chapman,5,2,w,wicket,caught,-5
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,2,Yusuf . & Kiran N,Yusuf .,Liam Chapman,5,3,0,runs,,0
spring2025,G2,2025-11-04,Durban Mallu's,The Gravel Donkeys,2,Yusuf . & Kiran N,Yusuf .,Liam Chapman,5,4,1,runs,,1
