season,game,date,team,name,rs,sr,ob,rc,wkts,econ,c
spring2025,G6,2025-12-04,Durban Mallu'S,Zayd,41,273.33,2,2,2,1.0,39
spring2025,G6,2025-12-04,Durban Mallu'S,Godfeer,12,100.00,2,-18,6,-9.0,30
spring2025,G6,2025-12-04,Durban Mallu'S,Kiaran N,21,161.54,2,-7,5,-3.5,28
spring2025,G6,2025-12-04,Durban Mallu'S,Jesse,14,116.67,2,-13,4,-6.5,27
spring2025,G6,2025-12-04,Durban Mallu'S,Ash,27,192.86,2,19,1,9.5,8
spring2025,G6,2025-12-04,Durban Mallu'S,Chiban,12,120.00,2,11,1,5.5,1
spring2025,G6,2025-12-04,Durban Mallu'S,Vijay .,9,75.00,2,13,2,6.5,-4
spring2025,G6,2025-12-04,Durban Mallu'S,Dony .,5,50.00,2,29,2,14.5,-24
spring2025,G6,2025-12-04,Toenails,Sheldon Roodt,31,310.00,2,8,1,4.0,23
spring2025,G6,2025-12-04,Toenails,Mike P,32,290.91,2,12,1,6.0,20
spring2025,G6,2025-12-04,Toenails,Asher,1,9.09,2,12,3,6.0,-11
spring2025,G6,2025-12-04,Toenails,Travis Smit,10,76.92,2,22,1,11.0,-12
spring2025,G6,2025-12-04,Toenails,Just In,-6,-46.15,2,12,1,6.0,-18
spring2025,G6,2025-12-04,Toenails,Chardonnay .,0,0.00,2,20,1,10.0,-20
spring2025,G6,2025-12-04,Toenails,Harvey,-13,-118.18,2,23,0,11.5,-36
spring2025,G6,2025-12-04,Toenails,Booger .,-19,-126.67,2,32,0,16.0,-51
