season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Kirsten,1,1,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Kirsten,1,2,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Kirsten,1,4,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Jeandre,2,3,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Theo Van Heerden,3,3,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Theo Van Heerden,3,4,r,wicket,runout,-5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Theo Van Heerden,3,5,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Theo Van Heerden,3,6,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Wimpie,4,1,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Wimpie,4,2,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Wimpie,4,4,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Wimpie,4,6,ls,extra,legside,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Chibin,Wimpie,4,7,ls,extra,legside,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Kirsten,1,3,4,runs,,4
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Kirsten,1,5,c,wicket,caught,-5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Kirsten,1,6,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Jeandre,2,1,nb,extra,noball,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Jeandre,2,2,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Jeandre,2,4,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Jeandre,2,5,ls,extra,legside,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Jeandre,2,6,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Theo Van Heerden,3,1,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Theo Van Heerden,3,2,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Wimpie,4,3,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,1,Chibin & Akhil,Akhil,Wimpie,4,5,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,5,1,ls,extra,legside,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,5,2,ls,extra,legside,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,5,3,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,5,6,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Franco,6,5,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Franco,6,6,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Theo Van Heerden,7,1,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Theo Van Heerden,7,2,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Theo Van Heerden,7,4,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Theo Van Heerden,7,6,5,runs,,5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,8,1,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,8,2,3,runs,,3
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,8,4,b,wicket,bowled,-5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,8,5,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Vijay,Roodt,8,6,2,runs,,2
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Roodt,5,4,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Roodt,5,5,1,runs,,1
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Franco,6,1,r,wicket,runout,-5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Franco,6,2,0,runs,,0
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Franco,6,3,r,wicket,runout,-5
autumn2026,G8,2026-03-04,Durban Mallu's,Akkerkop Arende,2,Vijay & Shaun,Shaun,Franco,6,4,2,runs,,2
