season,game,date,batting_team,bowling_team,skin,pair,batter,bowler,over,ball,delivery_raw,delivery_type,delivery_sub,runs
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Jesse Kotze,1,1,w,wicket,caught,-5
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Jesse Kotze,1,6,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Ruben Van Tonder,2,1,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Ruben Van Tonder,2,3,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Ruben Van Tonder,2,5,1,runs,,1
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Marnus Kotze,3,2,0,runs,,0
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Marnus Kotze,3,3,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Marnus Kotze,3,5,1,runs,,1
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Richart,4,1,w,wicket,caught,-5
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Richart,4,2,1,runs,,1
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Ameer,Richart,4,5,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Jesse Kotze,1,2,r,wicket,runout,-5
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Jesse Kotze,1,3,nb,extra,noball,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Jesse Kotze,1,4,w,wicket,caught,-5
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Jesse Kotze,1,5,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Ruben Van Tonder,2,2,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Ruben Van Tonder,2,4,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Ruben Van Tonder,2,6,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Marnus Kotze,3,1,2,runs,,2
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Marnus Kotze,3,4,1,runs,,1
autumn2026,G15,2026-05-06,Durban Mallu's,Duck Hunters,1,Ameer & Don,Don,Marnus Kotze,3,6,0,runs,,0
